UNITID,EFCSTATE,LINE,EFRES01,EFRES02 
110714,55,55,75,75.0
110714,57,57,13,13.0
110714,58,999,576,415.0
110714,72,72,3,2.0
110714,78,78,1,1.0
110714,89,999,4,3.0
110714,90,90,48,25.0
110714,99,99,576,415.0
110714,5,5,328,255.0
110714,12,12,1,1.0
110714,13,13,4,4.0
110714,19,19,1,0.0
110714,21,21,1,0.0
110714,36,36,2,2.0
110714,39,39,1,1.0
110714,42,42,2,1.0
